Exchange Destination Analyzer;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Dashboard;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
University;City;Country;Academic_Ranking;Employer_Reputation_Raw;Cost_of_Living_Raw;Safety_Raw;City_Attractiveness_Raw;;;;;;;;;;;;
HEC Paris;Paris;France;13;83.1;54.3;42.0;94.6;;;;;;;;;;;;
London School of Economics (LSE);London;United Kingdom;12;81.8;72.6;44.9;100.0;;;;;;;;;;;;
Cornell University – Johnson;Ithaca;United States;37;78.1;51.9;62.5;87.1;;;;;;;;;;;;
University of Michigan – Ross;Ann Arbor;United States;29;75.6;54.2;72.2;87.1;;;;;;;;;;;;
University of St. Gallen;St. Gallen;Switzerland;48;68.3;67.1;77.6;87.1;;;;;;;;;;;;
Tsinghua University – School of Economics and Management;Beijing;China;23;82.5;30.2;74.1;83.7;;;;;;;;;;;;
National University of Singapore (NUS);Singapore;Singapore;8;89.4;73.7;77.4;89.6;;;;;;;;;;;;
Stockholm School of Economics;Stockholm;Sweden;71;64.9;48.7;53.9;86.6;;;;;;;;;;;;
ESSEC Business School;Paris;France;39;74.5;54.3;42.0;94.6;;;;;;;;;;;;
HKUST Business School;Hong Kong;Hong Kong;26;72.9;65.7;78.5;86.0;;;;;;;;;;;;
EDHEC Business School;Lille;France;125;65.4;42.7;49.2;87.1;;;;;;;;;;;;
Peking University – Guanghua School of Management;Beijing;China;25;83.7;30.2;74.1;83.7;;;;;;;;;;;;
Shanghai Jiao Tong – SAIF;Shanghai;China;28;80.2;33.1;72.1;77.7;;;;;;;;;;;;
WHU – Otto Beisheim School of Management;Vallendar;Germany;134;57.1;40.6;65.1;87.1;;;;;;;;;;;;
ESADE;Barcelona;Spain;24;75.8;41.3;48.3;79.9;;;;;;;;;;;;
University of British Columbia – Sauder;Vancouver;Canada;49;78.2;55.2;57.0;87.1;;;;;;;;;;;;
Copenhagen Business School;Copenhagen;Denmark;15;68.5;57.3;74.2;81.2;;;;;;;;;;;;
University of Melbourne;Melbourne;Australia;50;75.8;48.8;56.2;97.1;;;;;;;;;;;;
University of New South Wales (UNSW);Sydney;Australia;35;79.7;58.9;65.9;95.4;;;;;;;;;;;;
Fudan University – School of Management;Shanghai;China;44;79.0;33.1;72.1;77.7;;;;;;;;;;;;
Waseda University;Tokyo;Japan;129;70.3;40.2;75.3;99.2;;;;;;;;;;;;
Rotterdam School of Management – Erasmus University;Rotterdam;Netherlands;22;72.0;49.6;71.6;87.1;;;;;;;;;;;;
University of Mannheim – Business School;Mannheim;Germany;108;63.1;41.5;58.6;87.1;;;;;;;;;;;;
Emlyon Business School;Lyon;France;76;64.9;44.9;43.1;76.7;;;;;;;;;;;;
Korea University;Seoul;South Korea;42;73.8;46.2;75.8;97.8;;;;;;;;;;;;
University of Sydney Business School;Sydney;Australia;56;74.9;58.9;65.9;95.4;;;;;;;;;;;;
KAIST College of Business;Seoul;South Korea;63;72.9;46.2;75.8;97.8;;;;;;;;;;;;
The Chinese University of Hong Kong (CUHK);Hong Kong;China;46;72.0;65.7;78.5;86.0;;;;;;;;;;;;
